,ts,error
987,3832511,4112
988,3832611,4176
989,3832611,4304
990,3832651,4240
991,3832651,4112
992,3832661,4176
993,3832661,4304
994,3832681,4240
995,3832681,4112
996,3832831,12304
997,3832861,4112
998,3832981,4176
999,3832981,4304
1000,3832991,4176
1001,3833001,4304
1002,3833011,4240
1003,3833011,4112
1004,3833021,4176
1005,3833021,4304
1006,3833041,4240
1007,3833041,4112
1008,3833051,4176
1009,3833051,4304
1010,3833081,4240
1011,3833081,4112
1012,3833151,4176
1013,3833161,4112
1014,3833271,4176
1015,3833271,4304
1016,3833431,4240
1017,3833431,4112
1018,3833441,4176
1019,3833441,4304
1020,3833451,4240
1021,3833451,4112
1022,3833561,4176
1023,3833561,4304
1024,3833571,4240
1025,3833571,4112
1026,3833671,4176
1027,3833671,4304
1028,3833681,12496
1029,3833681,28880
1030,3833691,20688
1031,3833691,4304
1032,3833721,4240
1033,3833721,4112
1034,3833731,4176
1035,3833731,4304
1036,3833741,4240
1037,3833741,4112
1038,3833871,12304
1039,3834221,4112
1040,3834341,12304
1041,3834351,4112
1042,3834431,12304
1043,3834451,4112
1044,3834571,12304
1045,3834691,4112
1046,3834851,12304
1047,3835181,4112
1048,3835741,12304
1049,3836231,4112
1050,3836321,12304
