,ts,id,Gx,Gy,Gz,Ax,Ay,Az
341,67569,IMU1,17,10,0,-2,-44,1085
342,67579,IMU0,171,-2,-87,63,20,1072
343,67579,IMU1,17,10,0,-2,-44,1084
344,67589,IMU0,175,-3,-87,63,22,1071
345,67589,IMU1,17,11,0,-3,-44,1083
346,67599,IMU0,176,-4,-88,64,23,1074
347,67599,IMU1,17,10,-1,-2,-45,1084
348,67609,IMU0,172,-4,-85,63,23,1078
349,67609,IMU1,17,9,-1,-3,-43,1083
350,67619,IMU0,166,-2,-85,65,22,1072
351,67619,IMU1,18,10,-1,-4,-44,1081
352,67629,IMU0,174,-3,-85,64,24,1074
353,67629,IMU1,18,10,0,-3,-45,1082
354,67639,IMU0,167,-5,-79,62,25,1076
355,67639,IMU1,17,10,0,-2,-43,1082
356,67649,IMU0,166,-3,-78,63,25,1077
357,67649,IMU1,17,9,0,-2,-43,1082
358,67659,IMU0,169,-4,-82,63,25,1075
359,67659,IMU1,18,10,0,-1,-44,1082
360,67669,IMU0,175,-4,-87,62,25,1073
361,67669,IMU1,17,11,-1,-2,-44,1084
362,67679,IMU0,175,-2,-86,61,25,1076
363,67679,IMU1,17,11,-1,-2,-44,1084
364,67689,IMU0,176,-2,-87,62,25,1073
365,67689,IMU1,17,10,-1,-2,-45,1084
366,67699,IMU0,175,0,-86,63,25,1077
367,67699,IMU1,17,10,-1,-3,-44,1083
368,67709,IMU0,174,-1,-89,63,24,1071
369,67709,IMU1,17,10,-1,-3,-43,1082
370,67719,IMU0,174,-1,-87,63,26,1074
371,67719,IMU1,17,10,0,-3,-44,1081
372,67729,IMU0,174,-4,-84,64,25,1076
373,67729,IMU1,17,9,1,-2,-44,1083
374,67739,IMU0,179,-4,-87,63,25,1075
375,67739,IMU1,18,9,0,-3,-44,1082
376,67749,IMU0,177,-5,-88,65,24,1077
377,67749,IMU1,17,9,-1,-3,-43,1082
378,67759,IMU0,175,-1,-88,65,23,1070
379,67759,IMU1,17,9,0,-2,-44,1081
380,67769,IMU0,175,-3,-89,64,23,1074
381,67769,IMU1,17,10,-1,-3,-43,1082
382,67779,IMU0,174,-5,-88,66,21,1070
383,67779,IMU1,17,10,-1,-3,-44,1082
384,67789,IMU0,172,-5,-84,64,21,1072
385,67789,IMU1,17,11,-1,-3,-43,1082
386,67799,IMU0,173,-2,-84,64,24,1078
387,67799,IMU1,17,10,-2,-3,-43,1082
388,67809,IMU0,170,0,-84,62,24,1080
389,67809,IMU1,17,10,-1,-3,-42,1081
390,67819,IMU0,172,-1,-86,62,26,1081
391,67819,IMU1,17,11,0,-3,-41,1081
392,67829,IMU0,173,-1,-85,62,25,1083
393,67829,IMU1,16,10,0,-3,-43,1081
394,67839,IMU0,173,-2,-84,61,25,1079
395,67839,IMU1,17,11,0,-2,-43,1082
396,67849,IMU0,172,-3,-87,63,25,1075
397,67849,IMU1,17,10,0,-2,-44,1082
398,67859,IMU0,176,-5,-85,65,22,1073
399,67859,IMU1,17,11,0,-2,-43,1083
400,67869,IMU0,173,-5,-87,65,22,1075
401,67869,IMU1,18,11,0,-2,-43,1082
402,67879,IMU0,173,-4,-86,62,25,1076
403,67879,IMU1,17,10,0,-3,-43,1082
404,67889,IMU0,168,-5,-82,63,23,1073
405,67889,IMU1,18,10,-1,-2,-43,1081
406,67899,IMU0,169,-4,-83,63,24,1076
407,67899,IMU1,17,10,0,-3,-44,1082
408,67909,IMU0,170,-4,-86,62,26,1077
409,67909,IMU1,17,10,-1,-3,-43,1082
410,67919,IMU0,170,-4,-83,61,25,1080
411,67919,IMU1,16,10,-1,-2,-43,1083
412,67929,IMU0,174,-5,-87,61,25,1077
413,67929,IMU1,16,9,0,-2,-43,1082
414,67939,IMU0,167,-6,-86,61,26,1079
415,67939,IMU1,17,10,-1,-3,-44,1082
416,67949,IMU0,165,-1,-87,63,25,1073
417,67949,IMU1,16,10,0,-3,-43,1082
418,67959,IMU0,170,-3,-83,63,25,1072
419,67959,IMU1,17,10,0,-3,-44,1082
420,67969,IMU0,172,-2,-84,62,24,1073
421,67969,IMU1,17,11,0,-3,-44,1080
422,67979,IMU0,175,-3,-86,63,25,1076
423,67979,IMU1,17,11,-1,-2,-44,1080
424,67989,IMU0,172,-3,-85,62,25,1076
425,67989,IMU1,17,11,-1,-1,-44,1082
426,67999,IMU0,172,-3,-84,62,25,1077
427,67999,IMU1,17,10,0,-3,-43,1084
428,68009,IMU0,171,-3,-82,60,26,1080
429,68009,IMU1,17,10,0,-3,-43,1082
430,68019,IMU0,170,-5,-82,63,25,1077
431,68019,IMU1,17,10,0,-2,-44,1082
432,68029,IMU0,174,-3,-83,62,24,1077
433,68029,IMU1,16,10,-1,-2,-44,1081
434,68039,IMU0,175,-3,-83,62,24,1079
435,68039,IMU1,17,10,0,-2,-43,1081
436,68049,IMU0,177,-3,-84,61,24,1077
437,68049,IMU1,17,10,0,-2,-42,1081
438,68059,IMU0,171,-3,-82,61,25,1079
439,68059,IMU1,17,10,0,-2,-42,1081
440,68069,IMU0,174,-1,-87,63,24,1076
441,68069,IMU1,17,10,0,-3,-43,1082
442,68079,IMU0,174,-3,-90,63,22,1074
443,68079,IMU1,18,10,0,-3,-44,1082
444,68089,IMU0,176,-6,-89,64,22,1074
445,68089,IMU1,18,10,0,-3,-43,1082
446,68099,IMU0,175,-6,-87,63,21,1071
447,68099,IMU1,18,10,-1,-3,-44,1083
448,68109,IMU0,173,-3,-88,64,21,1073
449,68109,IMU1,18,9,0,-2,-44,1082
450,68119,IMU0,171,0,-87,63,22,1076
451,68119,IMU1,18,10,0,-3,-44,1083
452,68129,IMU0,170,-2,-85,62,22,1076
453,68129,IMU1,17,10,0,-3,-43,1081
454,68139,IMU0,172,-4,-84,62,23,1076
455,68139,IMU1,18,11,0,-2,-43,1082
456,68149,IMU0,175,-2,-84,62,24,1076
457,68149,IMU1,18,10,0,-2,-44,1082
458,68159,IMU0,175,-22,-85,52,18,1087
459,68159,IMU1,20,-12,-2,-14,-48,1098
460,68169,IMU0,181,-76,-85,58,24,1076
461,68169,IMU1,25,-63,-3,-7,-41,1089
462,68179,IMU0,180,-73,-83,71,24,1066
463,68179,IMU1,23,-58,-2,5,-43,1075
464,68189,IMU0,177,-51,-83,68,25,1074
465,68189,IMU1,20,-37,-2,3,-42,1081
466,68199,IMU0,181,-42,-85,68,26,1072
467,68199,IMU1,20,-28,-1,2,-43,1081
468,68209,IMU0,179,-29,-85,69,24,1068
469,68209,IMU1,19,-16,-1,3,-43,1078
470,68219,IMU0,178,-18,-86,69,24,1076
471,68219,IMU1,18,-2,0,4,-43,1079
472,68229,IMU0,171,-4,-85,68,25,1075
473,68229,IMU1,17,9,0,4,-44,1079
474,68239,IMU0,173,1,-85,65,23,1077
475,68239,IMU1,17,14,0,-1,-44,1084
476,68249,IMU0,176,-7,-86,65,25,1077
477,68249,IMU1,17,7,1,-1,-42,1082
478,68259,IMU0,174,3,-88,74,22,1064
479,68259,IMU1,16,15,0,8,-42,1073
480,68269,IMU0,172,51,-88,77,23,1061
481,68269,IMU1,12,65,2,10,-40,1068
482,68279,IMU0,170,71,-87,64,23,1078
483,68279,IMU1,11,80,2,-3,-44,1083
484,68289,IMU0,170,51,-84,57,24,1087
485,68289,IMU1,12,60,2,-7,-46,1090
486,68299,IMU0,173,27,-85,60,25,1080
487,68299,IMU1,15,34,1,-4,-45,1085
488,68309,IMU0,169,12,-83,61,26,1079
489,68309,IMU1,16,24,0,-4,-45,1085
490,68319,IMU0,170,4,-82,62,26,1076
491,68319,IMU1,16,15,0,-2,-44,1083
492,68329,IMU0,177,0,-84,63,25,1077
493,68329,IMU1,17,12,0,-2,-44,1081
494,68339,IMU0,175,1,-87,63,23,1072
495,68339,IMU1,17,12,0,-1,-43,1080
496,68349,IMU0,177,4,-87,65,24,1073
497,68349,IMU1,16,13,-1,-1,-43,1081
498,68359,IMU0,178,2,-85,62,24,1076
499,68359,IMU1,16,15,0,-3,-44,1082
500,68369,IMU0,173,-5,-84,62,24,1074
501,68369,IMU1,18,8,0,-4,-43,1084
502,68379,IMU0,171,-4,-88,66,22,1072
503,68379,IMU1,16,9,1,-1,-42,1080
504,68389,IMU0,175,-5,-88,64,24,1076
505,68389,IMU1,16,6,1,-2,-42,1080
506,68399,IMU0,171,-5,-87,60,27,1077
507,68399,IMU1,15,4,1,-6,-43,1085
508,68409,IMU0,173,-31,-84,55,29,1084
509,68409,IMU1,18,-22,2,-10,-40,1092
510,68419,IMU0,178,-54,-84,60,27,1080
